O15116	P10598	Q91XL4	F1MRE1	E2R4V5
Q14247	Q91Y86	Q5XIF6	E1BMS5	F1P7Q4
Q8N3V7	P62962	A0A0G2K2P5	F1MPG6	E2RDK9
O15479	Q3UPH1	-	-	-
Q96QF0	Q8C5J0	Q6P7C4	E1B8W8	J9NWP6
P30414	B1AQ75	P15429	Q29RR0	E2R0N3
Q96C28	P07309	A0A140UHX2	F1MG89	F1PXS3
P52732	Q62351	D3ZZH6	-	-
Q9Y6A5	Q91WD7	A1L1K7	Q2KII7	F1PKW0
P68431	Q03265	P19139	F1MEF6	F1Q402
P00367	Q8BGS1	Q5I0H5	E1BK71	F1PZP8
Q14186	P81183	Q4KSH7	Q3ZBE5	F6V6K4
O75467	Q6ZPJ0	P63036	A7MBD2	F1PDK9
Q9GZY0	Q921I9	G3V8L0	G3MX91	F1P9S5
P21781	Q8R404	D3ZJ05	F1MEK6	E2RT25
P21802	Q9WVM8	A0A0G2QC40	E1BDB4	E2R3K7
P11047	P04202	F1M7S0	E1BH71	F1PHX2
Q71F23	Q61315	A0A0G2K7A5	Q32PA7	F1P7M4
Q8WUY3	Q8R0F6	Q4KM52	Q32L00	F1PIM3
Q96D15	Q9D0U1	O88201	E1BBU2	E2RII7
Q9Y6W6	Q9CQN7	Q5I0M1	F1MJZ1	F1PN96
Q9BSJ6	Q8C854	G3V7A6	F1N120	F1Q270
Q9C0D3	Q9ERH4	D4ACG7	G3N2W8	E2QSA1
Q9Y2R2	Q6PE54	-	-	-
P09681	Q9CQS5	M0R688	Q1LZB3	F1PQT1
P52435	Q8BU31	G3V915	F1MUP1	J9P5K5
Q86Y07	Q8BHB3	Q9R1S9	F1MU34	J9NYI0
P32929	Q80W21	F1LRD7	Q2KJ64	E2RRL7
Q9H3K2	Q570Y9	M0R9C8	P16068	J9NSV8
Q9Y4K0	F8WIJ5	D3ZLV9	G3N015	F1PD30
Q9Y5Q6	P61148	D3ZSE3	E1BPY5	E2RRL4
P04745	P09041	-	-	-
Q96S82	Q8R0A0	E9PTG1	G5E536	F1PNF7
Q96SI9	Q9CZD3	G3V6T1	Q17QJ6	J9NWG1
Q8NE86	A2ACV6	Q810W7	E1B9C4	F1PG46
Q9H4I9	P58043	A0A0G2JYP2	G3MZS9	F1PQE5
Q13614	Q9CQZ0	P46413	A0JND3	F1Q3Y1
Q9NRF8	Q9D1H7	A0A0G2K9L6	-	-
Q9BVK2	Q99MB3	-	-	-
O60568	Q3THK3	A0A0G2JU09	F1MX21	F1PWF0
P52597	Q99020	F1M3H8	A7E307	E2QRT0
O95628	Q9QZS3	G3V8C9	E1BHM5	E2RGG6
O15511	P0DP26	-	-	-
Q7Z7H8	Q9ERE7	Q4QQW5	Q1RMH5	F6XV14
Q9NXR1	P70336	F1M9C7	-	-
P11171	P48962	-	-	-
O60264	P19324	O55099	Q1RMT6	E2RGP8
Q9H819	B1AR51	D3ZRE0	A5PJK4	J9P572
A0JNW5	Q921N8	Q9Z1T4	F1MIZ8	-
Q9BZ29	Q9D1E5	A0A0G2K8D6	-	-
Q99880	Q0VBL3	Q5PQR5	A6QP94	F1PLS5
O14796	Q8R3Q7	D3ZVT0	Q2KIC2	F1PMU4
O43294	Q8K1Z0	O88658	F1MLU9	E2RSF2
Q92979	P83917	G3V7B7	F1MBD7	J9P716
Q5C9Z4	Q5HZJ0	Q5U2Z3	A5D7K0	F1PBK5
Q96RG2	Q6PIJ4	A0A0G2JZB7	A7YWN9	-
P43146	J3QQ44	-	-	-
Q9NX02	O35047	D3ZFL6	A4IFP2	F1PTI7
Q15019	Q91V92	P07150	A6QLT9	E2QWR8
P82979	Q3UTJ2	Q6AYL5	A5PJP8	F1PWQ6
P48454	Q9D4H2	Q52KJ9	F1MTF4	O97758
Q53ET0	O70372	Q5XFW6	A6QR61	E2R7B8
Q96EG1	Q9CXL1	Q62897	Q5BN37	E2RAF3
P62906	P67984	A0A0G2K3V7	P43249	F1PH72
Q8TDN6	Q8K3J1	M0R4P9	F6RF21	F6X6H3
P54105	Q8BZ03	A0A0G2K509	Q3ZBU7	F1PFG3
P62306	Q6ZWR4	P62907	A1A4J9	F1Q1T5
Q9P0P8	Q9QZX7	-	-	-
P49366	Q8CGB6	Q792Q4	-	-
O75122	Q80TZ9	P05942	Q0VC14	F1PLG2
B2Y833	D3Z757	Q62718	Q5EA92	E2RKX8
Q8N1F7	Q8VBV7	A1L1L6	E1BKW3	J9NVC8
Q9Y291	A2AHZ2	Q8R4T2	F1N7D7	F1PIM9
P62913	P05213	Q6P736	A6H6Y0	F1PRL5
Q8WYD1	P47880	Q9Z0G8	F1MP41	F1PD75
Q8WYE7	Q09324	Q5XI24	Q58CT8	F1PN67
Q14684	Q80Z64	D4A1H8	F2Z4J5	F6Y3P9
O15164	Q8VDY9	A0A0H2UHR6	E1BKI3	F6XQL1
Q53T94	A2ANY6	A0A0G2K4X2	Q3SZ65	F1PWX2
Q96DT7	P17950	D3ZDH4	F1MIX9	F6UTT0
Q9H609	P56394	Q9QY44	Q2NL15	F1P887
O76038	A2NTU7	A0A140TA94	G5E677	F1PLD6
O43491	Q8CGC6	Q6MG08	F1MDC9	J9NSG1
P45974	P42567	P46933	F1N7B9	E2R427
Q96P70	Q9WUA3	D3ZUL8	F1MNF9	F1PFB4
P12724	P30204	Q63262	E1BKU9	-
Q9BX10	Q925Q5	Q6XKD3	E1BAR7	F1P6P6
P16104	Q6ZWN5	A0A0G2K4Y2	F1MLS5	J9NVM6
Q99536	Q91XZ7	D4ACF3	E1B8X5	E2R1G6
O94826	Q8CJ67	D3ZYB7	F1MHT1	E2REA8
Q14980	O88712	D3ZNF4	A2VDM7	E2R552
A0PJE2	O55137	-	-	-
Q7Z7H5	Q149L6	G3V8H6	A6H7F4	E2RJM3
P20309	O88622	D3ZCR4	G3MX35	-
P26368	P97313	D3ZB71	E1B7G3	E2QUR2
Q9H7Z6	Q8BYC6	Q64611	F1MBD5	F1PTZ1
P20749	O35235	G3V7C1	F1N720	E2RPY6
A6NHC0	Q5SV41	A0A0H2UHB9	G3X6N5	F6X9Y6
P23396	Q9JJI8	B0BMW2	F1MG05	F1PJT2
Q8NBS9	Q61466	D3ZUT9	Q5KR48	E2QUZ4
Q5T0J7	Q80XM9	D4A1E5	E1BIV8	E2RLV9
P11182	P15261	D3ZVI2	-	-
P51888	Q8BMF3	Q5XII8	Q1LZE5	F1PAL1
Q9BTZ2	Q9R0T7	-	-	-
P13929	Q8BSN5	Q10746	F1MCL8	J9NZV5
Q96NS5	Q7TN08	A0A0G2K5F1	E1BF60	F1PPU8
P47897	Q61191	-	-	-
Q6PJE5	A2AWF2	A0JPM2	E1BEN3	F6Y4W8
Q9GZT6	Q9D1H8	Q06884	E1BLD2	F1PY82
Q9UN74	P00329	Q5XIB0	F1N6Y2	F1PP47
Q12929	Q91XE9	A2IBE2	F6PXH4	E2R0X5
Q14451	Q6PDI5	G3V717	F1MI27	F1P8N6
A0A0S2Z4E5	E9PV21	Q9WV41	F1MMN0	F1PA63
Q96B67	Q7TNS7	A0A1W2Q6J3	P26444	E2RDA6
P54707	Q91V83	F1LPN6	E1B8R4	E2RM56
Q96MK3	Q8BNE1	Q4V7D8	E1B9T4	F1Q1V1
Q9NP70	Q8R2P1	G3V6Q2	Q1LZE6	F1PU59
Q15102	Q8R0X7	-	-	-
O14490	Q9Z162	D3ZHF1	A7MBH3	J9P2A2
P0C0S5	Q7TMI3	G3V9H0	A3KN48	F1PU60
Q9Y4D1	Q8QZR0	Q63634	E1BKD2	F1PA52
P50416	O08528	A0A0H2UHF5	E1BME6	F1PSG5
O00124	Q812A2	-	-	-
Q9C0J9	P26883	B4F7B2	Q3SZA0	F1PTX5
P24928	P52479	P37377	F2Z4C1	E2QVF3
Q3SXM0	Q3TC93	F1LSG0	-	-
P39656	Q9DB77	D4A962	E1BLV6	E2RT34
A9UF07	Q149S1	D4A100	-	-
Q01523	F8VQE2	D3ZQN3	Q2YDE7	F1PEA4
P11117	Q9CQQ4	Q8CIN9	F1N2S1	J9P4M6
Q9NPY3	Q61245	F1M2C4	Q2TBW4	F1Q0F3
P31785	E9Q5G7	F1LQQ7	E1BEH2	F1Q1X5
P42224	P35564	B2GUZ0	F1MLV1	F6UYJ9
Q15526	P07903	Q6P6T5	E1BG87	F1Q1C9
Q9Y2P4	Q9ES83	Q62951	E1BCE0	E2QXZ0
O43809	Q3UEB3	G3V7Z8	F1MX88	F1PZL2
Q9Y3A5	Q99J27	A0A0G2K889	F6PR52	F6V0X3
Q8NHS3	P48455	Q5XHZ9	Q2HJE1	E2RIH3
O14920	P97477	P19357	-	-
P28062	E3VRY9	P13832	F1MNL5	-
O95751	Q8VCM7	B5DFC8	F1MEU0	F1P8U3
Q9P0U3	P53994	A0A0G2JWK2	A0A140T8C7	E2RRF5
Q8WV44	O35607	-	-	-
P40123	P97370	Q4QQT4	F1MWZ9	E2RRS1
Q9UJX3	A0A0G2JGH9	D3ZP29	Q3T075	E2R5H5
Q6UXN8	Q91Z53	D4A3E2	E1BGW5	E2R5B2
Q14146	Q9D1H6	D3ZWV8	G5E690	J9PB48
P40926	O55125	D3Z8B2	A7YWC6	E2RN03
P18859	A6H6A9	A0A0G2JYX0	F1MIY0	E2R1D4
P48201	P33766	A0A140TAG2	Q5EA83	E2QU14
O75197	Q921D9	P59996	E1BGZ0	J9NVD1
O15205	Q9JIM1	-	-	-
O60313	Q68EF0	D4ABX6	F1MAU5	F1PIK0
O75891	C3VPR6	-	-	-
P50570	Q810A7	M0R4H8	G3MZV1	F1PIF7
P04271	Q9BCZ4	-	-	-
Q969U6	P40338	Q8K4G9	G5E5N0	E2R926
Q9NWT1	Q5NCY0	G3V6H6	Q0VCE2	E2RM65
P62857	Q8CJG1	Q3B8Q2	G3MXJ7	E2R9G7
Q14677	A0A0A6YWS6	P18163	F1MHD7	F1Q0S4
Q9UMS6	Q5Y5T5	P70534	F1N1B8	J9NUH9
Q8NBL1	Q9WTZ2	A0A0G2JTT7	P48617	E2QXU4
Q5U5R9	P27814	B5DEG1	E1BP94	E2R8S4
O95258	Q61152	A0A0G2KA95	G5E6P3	E2RPZ5
Q9NVU0	Q7TSS2	-	-	-
O94818	Q8C8K6	P18598	C0LMH8	J9P1A3
Q8IX90	P06880	P97675	P62248	F1PU71
P08311	Q5PSV9	D4AA42	F1MTQ6	F1PVB9
O75330	Q6P5E4	D3ZIY3	E1BLI8	F6XEY1
Q8IYI6	Q922C1	P47728	-	-
Q8NEB9	B7ZC94	D4AE91	F1N329	F1PWF1
Q6ZRV2	Q69ZN7	-	-	-
Q86U38	Q61010	Q498U4	F1MK88	F1PBI4
Q8IVQ6	O54824	D3ZAM4	E1BMA9	F1PIB4
Q16543	Q9R0T8	-	-	-
Q86TB9	Q9D902	Q5PPI1	Q2KHX8	E2RA10
Q9H422	Q9Z1Z0	P04692	P10103	J9PBM4
Q56P42	Q3THU8	Q9WTP0	F1ML21	J9PAD3
Q96MN2	Q31135	D4A815	F1N793	J9P7P4
P31942	O08784	F1LMV6	Q3ZBG0	E2RT23
Q8N6T7	Q8BH95	O35115	A7Z051	P25473
Q8WVS4	P51656	A0A096MIS7	F1MKL3	E2QX69
P15559	Q99J72	D4AEJ5	F6RJY8	J9P413
Q9UK53	Q6PCX9	A0A0G2K2N0	Q3ZCF2	-
O95154	Q3UZA1	D3ZA36	-	-
Q9P000	O54887	Q5U2U0	F1MJ11	E2R917
Q8NF91	G3UW74	Q9WU82	E1BJ37	F1PDW5
Q9UNF0	D3Z2X2	B4F7C5	F1MJL4	J9NYD6
P56559	Q6GYP7	Q5XII4	Q3ZBM1	E2QZH6
Q05823	Q91V01	-	-	-
Q99081	Q91VW3	M0RAE4	E1BFN3	E2RT05
P10147	Q60662	Q6P734	Q7YS81	E2QWF7
Q9UPY8	Q6PHN9	D4ADT5	F1MDU6	F1PDR0
Q86UP0	Q62226	P82471	E1BF87	F1PVK9
Q9NX05	B2RT41	D4A644	Q0VC02	F1PGF6
P62280	Q9ERU9	Q68FQ0	A7Z025	J9P4C5
Q15758	O89017	A0A0G2JSV0	-	-
O14757	Q99KJ8	F1M7B8	Q1LZ90	C0LQL0
Q15185	Q6NV83	G3V888	O46629	E2RK20
Q15397	Q9Z1A1	F1LST4	P00514	F1PVA9
O15033	A0A0R4J099	D4A7B6	E1BJE0	J9P064
P46109	Q8BU30	Q62623	Q28165	F1PPR3
Q9BSD7	Q8BFZ3	A0A0G2K030	Q2KJH6	J9PAW7
Q9P258	Q9DC23	A0A140UHX3	A0A140T859	F1P6R3
O00762	A0A0R4J136	-	-	-
Q03518	Q0VAV2	M0R7D0	Q0P5M8	J9JHV1
P60660	O09061	-	-	-
Q6ZU65	Q6QIY3	G3V6P4	F1MEP8	E2RK24
Q9BUN8	G3UX50	E9PT44	Q1LZB2	F1P969
Q9NQC3	P17710	M0R7T1	F1MFW8	F6UY30
O75506	Q9CXE0	D3Z994	F1MWB8	E2R5M1
Q9P2E9	Q8VEG4	Q4QQS8	F1MQN0	E2QXC0
O15169	Q9R1E0	D4AEK9	-	-
Q9H3S5	Q80T74	P63041	F1N5H1	E2QY56
Q9NZU5	Q8BUW2	P70541	Q3SX21	J9PBG4
Q8IXA5	Q8K0V2	Q9JIK1	Q32L75	E2QRT8
Q9NWM8	D6RGR1	D4A039	E1BAI7	F1PUX6
O00193	G3X9D8	Q09326	E1BFD3	E2RKN7
Q9HC38	Q8BGC9	B2GV29	F1N000	E2R5P8
P0DJI8	Q99J23	Q6AYB1	F1N189	Q71DR4
Q9BQE4	Q69ZJ7	-	-	-
Q7Z739	Q8VE33	G3V985	F1MXF2	E2R2L6
P50750	Q9QUM5	-	-	-
Q12860	Q9JM58	D3ZF54	Q1LZC9	F1PU18
Q15819	B1ASP2	A0A0G2JXI4	Q3ZCK1	E2RRM6
Q86Y13	Q9WU56	-	-	-
Q8NA69	Q9QY05	A0A0G2JW79	F1MUB8	F1P7N5
Q9P2R3	Q8CCG4	D3ZC16	E1BFH7	E2R961
P31323	Q8R3C0	E9PT51	F1MNS8	P61162
Q86YT6	P54254	B1WBV4	E1B941	E2QWL4
Q16620	Q7M757	B2RYV0	F1MBG4	J9NY48
Q9P104	O54917	A0A0G2QC34	A6QNT8	E2QYE9
Q9BQ50	Q8BFU0	F1LX28	F1MNB7	F1PFW3
Q99460	Q9CQR2	Q6P7A7	Q3B8S0	E2RFJ7
Q8IZF5	Q923Y8	D4ABR5	A6H7F6	E2R4E0
P78356	O55233	P97685	Q52QI2	E2QZX1
Q96RK1	O35114	Q5U3Y7	Q1JPA0	F6Y507
Q9HBZ2	Q8K2T8	-	-	-
Q15256	B5THE2	P02651	A6QR00	J9P105
Q9UL42	O88631	D4A349	E1BLK1	-
P16885	Q8BW10	F1LQ22	G3X6E6	J9P4W3
Q13492	P12382	Q6IFV1	F1MZ69	E2R2A4
Q562R1	G3X956	Q6PDU1	F6Q9X9	E2R9E9
Q8WUZ0	A0A0R4J0J6	-	-	-
Q13227	P28663	D4AAH4	F1MD09	E2RAG1
P46459	P63011	D3ZW08	F1MCL6	L7N0E0
Q01968	Q9JMH9	P81155	Q4JM65	G1K2D2
P15923	Q99M51	F7EYF1	F1MH06	F1P666
P47928	Q794H2	D3ZJ93	F1N7G4	E2R9K6
Q14697	Q61686	-	-	-
O95757	F6SEU4	Q6P7B0	G3X707	J9PAP8
Q9BZQ6	Q8BL43	-	-	-
Q05D60	Q8BHB8	Q4KM83	A7MAZ6	E2RSZ0
O00232	P61164	F7FNS3	E1BF47	E2R7S5
Q9UBW8	Q9CR16	Q9JLZ1	Q3B7M5	F1Q0J3
O15550	Q8BH07	Q03190	E1BNB3	F1Q3W1
O95235	Q05CL8	P07871	Q2HJ22	E2QZC6
Q8N2M8	Q61595	D3ZL57	P32749	F1PIV3
Q9H7S9	Q8R3D1	-	-	-
Q9UHD2	Q3TWW8	A0A0G2K2C7	F1MWN1	F1PRE1
Q01167	Q8CBC7	D3ZX82	F1MVW1	F1P977
Q99583	Q68FG2	D3ZXB7	F1MF02	F1P6B2
Q12980	A2AV25	D4AC85	Q08DH5	F1Q2G2
Q16854	Q9Z2R6	E9PT21	F1MWF8	F6V471
P61513	P35980	F1LNF1	Q3ZCH0	F1PID8
Q86V42	Q9D6J4	G3V8V8	F1MPT8	E2RM73
Q8IV38	Q8VHZ5	D4A314	A5PJR0	J9P0H5
Q93009	P62983	A0A0G2KB98	Q32PJ8	Z4YHI2
Q8IYT8	Q8VCY6	A7M777	F1MHK2	E2RM17
P04259	Q3ZAQ4	F1LZI7	P0C0T1	F1PHU4
Q15393	Q60932	D3ZZ95	E1BQ37	E2R8E5
A7KAX9	Q920Q6	B5DF84	Q5E9C0	E2RBA9
Q96KG7	Q60969	Q6AXY3	P82931	E2QS79
P15173	Q9Z1F6	Q5EB95	F1MMY4	F1P994
Q86X55	Q8BHB4	P35815	-	-
Q8N1E6	Q8R5C8	E9PTV4	A2VDZ3	E2RLA4
Q93100	Q9DA44	D4A2H6	A7YWP6	J9NUE0
Q1MSJ5	Q3TCJ1	F7FKK4	Q58DA8	F1PHS9
P33981	Q3U141	D4ABH1	F1MHX1	J9P2H7
Q14674	Q61301	G3V798	Q08DW2	E2RIN4
P04350	P16546	P07335	A6QR16	F1PUQ2
P32121	Q9ESX5	A0A0H2UHG3	E1BNY9	E2RB79
Q92610	Q9CQL2	D3ZLV5	G3X683	E2R4M9
Q9ULU4	Q5RJH6	D3ZAE6	F1MDR9	E2QVC5
Q6Y7W6	P23116	A0A0G2JWE9	G5E531	J9NZK9
Q86X27	Q07076	D3ZQF8	-	-
Q9HC97	Q920T9	F1LLW4	Q29627	F1PRU7
Q8N0S2	Q9ERF3	F1M787	-	-
Q9NQX1	E9Q4M0	Q6AYA0	E1B9G4	E2R3M5
O43747	K4DI67	-	-	-
Q96C86	P27681	-	-	-
Q92621	E9QPD7	Q6P6S1	A4IF62	E2REW3
Q9Y5V3	Q05BA5	F1LXF5	Q05B89	F1P716
Q15014	Q9Z0G2	D3ZG88	F1MLY7	Z4YHE9
Q86VZ6	B1AYL1	Q8R4R3	G3X690	E2RRV9
O95156	Q61037	Q9EPI9	F1MYR8	E2RPU6
Q9HC56	Q3U2K0	-	-	-
Q13835	Q32NY4	M0R484	-	-
P56385	Q3U0V2	P54777	F1MAY3	F1PJI8
Q49A88	P53564	-	-	-
P43686	Q922U1	E9PU01	Q29RS9	F1P9D5
P62847	P62267	A0A0G2K4U6	F1N0E5	F1PGD7
P09467	Q5DTJ9	F1LWN1	Q0P569	E2RK13
Q63HM2	Q91WC3	D4A120	A1A4Q3	F1PCN0
P52565	B9EJ54	E9PT65	E1BDS6	E2RAE2
P0CAP1	Q6ZWQ0	Q9Z2J4	G3X6R8	J9P7F9
Q9NQG5	Q8R3L2	A0A0G2JTM7	F1MIP7	J9P2T1
P36873	Q9QXS6	F1LM66	E1BLB6	J9P1X3
P46439	Q99M31	A0A0G2K6D0	Q32KR7	E2RJX8
Q8WUU4	Q9CQ10	Q63454	Q0II95	E2RNJ3
O95084	Q8C7M3	D3ZJ49	E1BNG5	F6Y067
Q9H0R3	G3X924	-	-	-
Q9UH92	Q8K4H1	A0A0G2K2R5	P13696	F1P8W5
P16410	Q3UKY7	-	-	-
P33681	Q60613	F1M478	A4FUG3	J9P989
Q9Y6J9	Q8BG28	P20942	-	-
Q9UK85	Q8R1B5	-	-	-
Q96EE3	P54071	F1LMC2	Q3T0J0	E2R3R0
Q03014	Q3TCV3	Q6AY94	Q3B7L5	J9NYU9
O43447	Q9DBL7	D3ZY86	F1MC63	J9P746
P17480	A2CG63	D3ZZC5	F2Z4J6	F1PDV9
Q9UBL6	F8VQM0	F1M147	E1BJS1	E2RLE0
Q9Y3I0	Q922Y1	F7F189	F1MYH2	F1PAT6
Q59GN2	Q810M6	Q6AY24	F1N353	E2RA21
O43172	O08547	Q5U4F0	F1N2T0	E2QWU2
Q6ZT21	O88552	Q6DGG1	F1MZ89	F1PSM5
Q6ZT12	Q3UVU3	-	-	-
Q6P2Q9	Q61881	P62193	Q95M18	J9P891
Q13131	A2AEG2	M0R8B6	Q5E9Q6	F1P8X2
Q8TAC2	Q6PDH0	Q4KLJ2	E1BJ13	F1PUS8
Q9UMS4	P18760	Q9WV25	E1BMW2	E2R7K2
P29474	A0A1Y7VMP7	E9PT22	Q1RMT7	J9P632
P50502	P51660	G3V9X6	Q2KID6	E2R954
Q93052	Q8BK35	A0A0G2JZ87	F1MQF5	J9P4P7
O00203	A0A0R4J0I4	Q5I0E3	P48818	E2R0Y6
Q02078	P35292	D4AB31	E1B7S5	E2R304
Q00653	P63168	P39052	Q3SZ20	E2RL63
Q8N163	O70551	P06685	Q3T0F4	F1PZ54
P41229	Q8VCD0	F1LM54	Q58DN8	E2RNP3
Q9BS16	P49446	G3V7V0	A4IFS9	J9P4I2
O75140	Q9DBR3	O70521	E1BA36	E2RCE4
Q5T011	Q8BZI0	Q68FV6	Q1RMI4	F6XHG2
Q9HCS4	Q9QZI8	P58821	F1MJ02	E2RLG5
P11498	Q8BX09	P25977	E1BAK6	E2RDG2
P19022	Q8VC85	M0RBQ5	E1BFV2	E2RC04
P41182	P42669	-	-	-
Q15555	Q62425	F1M386	F1N063	J9P0K4
O14579	Q6P9Q4	-	-	-
Q9H875	Q64462	F8WFQ4	Q1LZ76	J9P5B7
P53007	Q8K2C9	-	-	-
Q96BR9	Q9R171	D3ZRH4	E1BPS7	F1PMP1
Q6UXN9	Q91VN4	A0A0G2JX76	P28782	F1Q1M2
P49903	Q3UA06	E9PSW8	A6H720	E2R5F7
P08253	Q8C6G8	D4A779	-	-
P12111	Q3U481	Q9JIR1	P51749	F1PR99
A2RU14	A6H6S0	Q5XIS7	Q32P60	E2R915
P12004	Q99JX7	Q9R0T4	G3MX90	E2RA07
Q5SZQ8	Q60766	D3ZCF7	-	-
Q5MNZ6	Q8R322	D3ZTG3	F1MBD2	J9NUI4
P10415	Q8BRK8	B0BNB0	E1BMR3	E2QWC6
Q8IZQ5	Q9JHS3	D3ZXK4	Q5E9C2	E2RB35
Q13418	Q02248	B1WBY1	G3X7B5	F1Q3W0
P41218	P70315	-	-	-
P30044	D3YX43	A0A096MK04	F1N6Y6	F1PWJ3
O95487	O89032	D3ZLS5	F1MWF5	J9NTA2
Q6P6B1	Q9CR27	Q6IN24	Q27979	J9P4D6
O94875	F6V5B0	P97570	F1MXH7	F1PCK2
P62330	Q99LC5	Q80Z29	E1BDB0	E2QUS0
P01111	Q8R418	-	-	-
P55196	Q9WV92	D4A321	A0A140T897	F1PGT8
O76064	Q5SNZ0	A0A0G2K516	-	-
O43681	Q9QXB9	B5DEI9	-	-
Q9BV68	Q8CIP4	M0RDN9	A2VEA3	E2RCJ9
Q13049	P09103	G3V796	F1MKR6	E2RSE9
Q9C035	Q2TBA3	-	-	-
P32004	Q8R0N9	F1M9D8	F1MKX2	E2RJS9
Q9UJ41	Q9R1K5	Q68G39	F1MEB7	J9P9G0
Q96JK2	A0A1B0GRR9	M0R9L2	F1MQV7	J9NTR5
Q99471	Q9Z2S7	D3ZSB9	-	-
Q4V328	Q8BUV6	P26255	F1N148	E2RNV4
Q5T4S7	Q9WVE0	D3ZAY8	F1N4X3	E2RBM6
Q9NRL3	Q8R4X3	-	-	-
P04275	Q6PIC6	-	-	-
Q9BUV0	A2AJK6	P15129	F1MPI9	F1PWT7
Q9Y5L0	Q64478	A0A0G2K2A4	-	-
Q13105	P12815	R9PXR4	E1BKR3	F1PJD3
Q6ZMR5	Q7TSI3	G3V9U1	Q9XT56	F1PZH2
P51955	Q61687	P63329	E1B885	E2RPJ3
Q13362	Q8K202	A0A0G2JT62	A4FUF0	F1PFC1
Q6ZWI9	Q9CWT6	G3V827	E1B9U3	F1PCD6
Q9Y2X9	A0A0R4J1Y0	Q7TP36	G3N1T8	E2RMS0
P07288	P35282	Q5PQN9	Q58DN4	F6UQQ0
P19784	Q61550	A0A0G2KAM8	A7MBC5	F1Q284
O15027	Q9Z148	D3ZJ50	E1BI26	F1PG59
O14519	P17182	O88368	F1MMK3	F1P8K0
Q13330	O08599	V9GZ88	F1MND3	F1PLU5
Q14444	P26043	A0A0G2JSW0	-	-
O75475	Q6ZWY3	Q641W3	G3MZU4	F6XTU7
Q15050	Q64010	G3V8S2	E1BFD5	E2QZZ2
P27338	P41139	A0A0H2UHZ0	E1BJA0	F1P959
Q00796	A0A1L1SQ51	D4A0Y2	Q0VD15	E2RAN4
Q96JC9	Q7TNR6	Q924T9	E1BIL1	E2R2A6
Q8TC44	P11438	C0H5Y5	E1BGY7	E2RPZ9
Q13508	Q8CEF1	A0A0G2K528	E1BMH3	F1Q1V2
Q13740	Q9QXE0	M0R7L2	F1MDS0	E2REL8
O94979	Q8R1F1	F1M7W7	Q2TBR2	F1P7R7
Q9H553	Q9DAK9	G3V8K9	F1MI44	F1PAF0
Q9H2U2	Q99N69	-	-	-
P27105	P18052	Q6AXM8	Q32KW2	E2RDB5
Q9Y3Z3	Q9WU42	F1LQS1	A7E3W2	E2RHW7
Q9Y4B5	Q8K0D0	D3Z8Q6	F1MZN7	F1PP42
Q9GZX9	Q61627	-	-	-
P17676	Q3V1V3	D3ZWK4	F1MCQ5	E2RSR0
Q15051	A0A0R4J0H9	P21670	F1MAV6	E2QS13
Q7Z3V4	Q8VE95	D3ZGJ0	A4IFQ3	E2QWG2
Q2TBA0	Q9QXD6	D4A9G1	A2VDL0	J9PA29
Q9UPU7	Q924T7	Q8K5E0	A6H7E9	E2RF91
P61964	Q9WVH4	O54857	F1N3S4	J9NX85
Q15742	P56931	Q641Z6	P83095	J9NRQ4
Q96CN9	Q3UIK0	P54256	F1MHH5	F6UU49
P51812	A0A0R4J041	Q9R0C9	F1MGC9	K9J6P0
Q9UKA9	Q8CHW1	F1M3T8	E1BKH6	E2RJE2
Q9NZW5	F8VPX2	F1M021	A6QQ80	Q4F889
Q9ULA0	Q8K0S0	D3ZI33	Q32L90	E2R4K6
Q07960	O35134	D3ZD03	A3KMV3	F1PY33
Q9UGI8	P60766	G3V8T9	P68138	E2R5Q5
Q9P0N8	Q8C172	-	-	-
P04004	P54726	F1LNX7	E1BKC4	F1PA22
P56182	Q08879	D4A0M3	A1A4I9	E2RTD5
Q6FI13	Q8VEH6	F7F7H4	F1MD66	E2RSE3
Q9Y262	Q9JHE7	D3Z8I4	P61283	E2RS09
P21291	Q9D6M3	B0BNA8	Q1LZF1	F1PAG0
P37837	P63166	G3V7I0	E1B6X8	E2RHE9
P49368	P63085	Q5M7U6	F6QHJ6	F1PQ09
Q6PK12	P40224	D3ZK35	E1BE66	F1PCD1
Q15915	E9PZ36	D4A3V6	F1MF22	F1PVB8
Q71UM5	Q9WUL6	D3ZUY8	E1BKP4	F1PB66
Q8WZ19	A2APB8	D4AE69	G3X7B3	E2RGR2
Q9H6R7	Q9QZ67	Q06496	E1BMG6	Q4TUC0
Q9BW27	Q99PE2	Q5EB92	E1BEW3	E2QXZ3
Q8NC67	Q80XQ8	Q6IRS6	A3KN36	E2RRW3
Q9BUY5	P01910	Q6IRJ1	Q2KHW7	E2REJ7
P33764	Q99LC4	Q7M730	G3X7S0	F1PQ39
Q14008	Q60930	Q505J8	F1MMK8	E2RIQ2
Q9Y679	Q9CSU0	D4A986	A5PK06	E2RPD9
P25205	P62334	-	-	-
P35250	P13707	F1M8I5	F1N6V4	E2RLB8
P19525	Q4U2R1	F1LSS1	E1BC67	F1P8S9
P07195	O08808	P30835	Q148N0	E2R8C1
Q9BRT8	P51180	B2GUW6	-	-
Q9HAV0	O08539	D4A131	E1B8C2	F1P8W1
Q8IYW5	Q9CR56	-	-	-
P15153	Q8R0P4	D3ZHG3	F2Z4C6	F1PHG5
