O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
O75151	Q3UJH4	D3ZVT1	F1N323	E2RN54
P23443	G3X972	-	-	-
O75192	Q8R418	Q6QLM7	Q0VCQ3	E2REN2
Q9UMX1	E9QMN1	-	-	-
P16444	O35149	-	-	-
Q96MV1	Q91YL8	D3Z9U2	F1MX73	F1PA85
P35916	Q7TSJ2	B5DF15	F1MUN1	E2RK02
Q99808	Q9JJW5	Q5BK33	-	-
Q9UIF9	Q8R2S1	F1M6V0	E1BLB4	J9P284
P68133	Q9Z172	B5DFB2	Q2KJ42	F1PGY9
Q9ULJ8	A0A0R4J0C6	-	-	-
Q15945	Q91WE3	D3ZFK5	A1A4R0	E2RLT8
P07199	O55125	Q56R18	Q0P5C5	F1PQI7
O75110	A2AJX0	D3ZVT7	F1MXH5	E2QZ37
Q9NYV6	O08540	D4AE64	F1MU32	F1PQR0
Q9Y210	Q9D009	Q641X3	F1MX20	F1Q0K8
A2IXV5	Q3V1L6	D3ZAN9	E1BDX1	E2R1P7
P50549	P30051	D3ZAT3	G3MZF1	J9P395
O60481	Q9QZJ6	P81799	Q1LZ76	F1PIH1
O75578	P18469	-	-	-
Q15436	Q9CZ13	A0A0G2K427	A2VDN8	F1PRR6
Q96TA2	Q8VDP3	P01143	E1B717	J9P9L7
Q9P2J9	O08600	F1M8Z5	F1N327	J9NS01
P41223	Q8C669	Q4V8N6	F1MDZ8	F1PB88
Q3ZCM7	Q61176	-	-	-
Q8N831	A2AF53	Q3MHC2	E1BH05	F1PXA1
Q16773	Q9R061	D3ZI66	F1MHV8	F1PVT5
P51674	P15327	Q9R1A7	Q2TBM0	F1Q247
Q96TC7	Q61206	P80202	Q3ZBQ0	-
Q5XG87	Q71FD7	D3ZVJ3	F1MFK7	E2RMJ9
P35251	P16054	-	-	-
O60231	Q6PE01	B5DFE7	F1N215	F1Q2T2
Q14129	Q06185	D4A548	E1BJ25	J9P0W5
Q8HWS3	Q9D2Q3	B4F7A3	F1MXC9	E2REW0
P00749	Q99PE9	-	-	-
P05121	Q8BQP9	B0BNA2	A4FUZ8	F1PGZ7
Q96FS4	Q9D2C6	Q3T1J4	-	-
Q8TDD5	Q9Z0G0	M0RCH9	E1BES3	J9P1B3
Q6PI78	Q4KMM3	P08413	A5PJV4	F1Q4I6
P55211	Q8BGC0	-	-	-
Q9BUR4	O08746	Q5PQP4	Q7YS80	F1PNV5
P53597	A0A0A6YWZ3	Q5BJS7	E1BGY3	E2R0M1
Q9HCU4	Q9D6K9	A0A0G2JUZ4	P43481	F1Q253
P50052	Q9D4W2	D3Z988	Q02365	F1PHF2
O95343	Q8CI78	F1M5N7	F1MKV9	F1PAB2
Q9BWU1	Q99LL3	P35345	E1BDD7	F1PIA3
Q7Z2X4	P63040	B0K015	Q0II86	E2RHV3
Q9H5N1	P58058	G3V6S1	E1BAC1	J9NVW3
Q9BY41	Q8BMI4	G3V758	Q2KIJ1	J9JHF4
P04156	Q6PR54	Q27W01	E1BHI0	J9P5S2
Q9H4F1	O55126	P47861	E1BPI9	J9P595
O95786	Q99NH2	G3V7L8	F1MBM9	F1Q219
P15976	Q8BL74	-	-	-
Q13371	Q6PB60	Q6P5P4	F1MNJ0	J9JHM8
Q8IXL7	Q61085	P41135	F1MSR4	E2RL64
Q9P2W9	Q3TTP0	D4AAB9	F1MLB6	E2QUA5
Q9P2Y5	Q8BJ05	B1PLB1	A5PKD5	-
Q9HCI7	Q8VCM8	Q9EPT8	F1MYV7	A0FI88
Q9UBC5	P0C872	Q9WUQ1	A4FUZ1	E2RIH2
Q06546	Q9JLM4	D4A3B6	G3MWI6	F1PFW3
Q9NVM1	Q91Z05	Q4QQT3	E1BE55	E2R857
Q9UNE2	Q8BJS8	G3V8M4	Q5E9Q3	J9JHC2
Q4U2R6	Q6PD28	-	-	-
P18621	P50516	F1M5A9	F1MQJ7	F1PCG4
Q96RU3	Q60847	P51886	Q2T9V8	E2QXQ3
Q99942	A2A9C3	-	-	-
P09326	P56391	Q9EST9	Q5EAE3	A0A140T8E8
Q5UCC4	Q9QUT0	M0RD40	E1BN24	E2RHB3
Q9NRP7	Q6NZH9	D3ZZP1	D9ZDD9	E2RG08
Q8WTX7	Q91VT1	F1LUS3	G3N1S3	E2R5F3
Q9NXC5	Q9CY52	Q5UMH9	F1MIH5	J9NSP8
Q14156	Q8BUZ1	F1M388	A4IFN1	F1PVX8
Q96EU6	Q9QZS7	Q4KM52	Q3T146	E2RMJ3
Q13887	Q7TMB8	Q5PQN1	Q2KI62	F1P6U8
Q9BX70	Q8BTI9	A1L1K6	E1BKM0	J9P2M7
O75943	Q9ER97	Q6AYK7	F1MZA9	E2R3G8
P31153	Q8C167	Q3MJK5	F1MZP2	F1PWF0
Q10589	Q05144	-	-	-
Q9BRJ6	E3VRY9	D4A2B0	E1BJD2	E2QYF3
Q9Y3A4	Q9QWV9	Q6AYR8	F1MF36	E2QWQ2
Q9UNQ2	P00405	F1LZW6	Q2KJI7	F1PAK1
Q9C0I3	Q8VEE0	F1LMW3	A0JN71	F1P676
P11388	Q9WUN2	F1LQH9	F6RSR1	E2RHR7
Q9UHL4	Q9DBS8	G3V639	E1BBY2	F6Y598
Q6YN16	P08101	Q5M829	E1BLT3	F1PBW2
Q09013	E9Q2I3	D3ZXA5	Q17QI4	J9PAG4
Q86UD4	Q80UW5	O88420	A4FUB0	E2RCX1
P53990	P07742	-	-	-
Q86VI3	O88487	D4AEK7	F1MHL9	J9NRG7
Q12846	P30280	F1LWK7	Q0IIG5	E2QXP4
Q99719	Q8BSY0	D3Z8L5	-	-
Q9NVE7	Q9CPP0	F1M8E7	E1BN71	E2RM77
Q86SF2	Q9Z268	P18484	E1BJA5	F6Y3H7
Q7L0Q8	A2APF3	A0A140TAA7	E1BA62	F1PCR1
Q9Y5E2	Q3UFB2	D3ZP27	Q2KJB8	F1P9X4
Q9BV29	Q9QUN9	D3ZX15	E1BG36	F1P7Q7
Q99575	Q8BKC5	G3V6T7	E1BN61	D5IGC7
Q13064	Q920P3	Q5U2W4	F1N039	E2RG11
P21730	P18340	D4ACD3	F1MRH1	F6UT89
P39019	P62960	-	-	-
O15155	Q99N11	D3ZEW7	Q0VC12	E2RDC9
O75396	Q7TPV2	D3ZVR0	G3XCF6	E2RQZ2
Q92508	Q9CYC3	M0R6B5	Q3T0J9	E2R6K5
Q8TF42	O88532	F1M775	E1BGD4	J9PA79
Q8IZD9	P70701	P19814	F1N775	F1PMA7
P13489	B1ATZ1	F1LSG0	F1MUR2	E2RCX4
P22612	Q8VDM1	F1LS89	E1B8N5	E2RPJ3
O75022	Q9DBD2	D4A6L7	Q2KJ47	E2RIS6
O94925	Q6PDY2	D3ZXP4	-	-
P12955	E0CZD6	D3ZSM9	P14100	J9NRX7
Q7Z5J8	Q8BHH1	A0A0G2K5Y3	E1BJS1	E2R7D2
Q9P1U1	Q9ERP3	G3V946	G5E690	F1PW23
Q9Y5J7	O88573	E9PTQ0	Q95L14	F1PZ43
P05165	Q99PI4	-	-	-
Q12830	Q9DBT3	Q4V8B3	F1MDC1	E2R4B8
Q8IYT2	Q8R4B8	Q3T1I9	Q28198	F1PG67
Q14209	Q9WV03	D3ZIQ8	-	-
Q2M3R5	Q812A2	D3ZUW6	A4IFM7	E2QVY5
Q9UBX3	Q8BHE1	F1M4A7	A7MBG9	H9GW60
Q96N64	G5E8Y0	D3ZL85	E1B913	F6Y4S5
Q15434	Q9R0M3	A0A0G2JX95	E1B827	E2RF04
Q8WYR1	Q7M6Z0	A0A0G2JUQ8	G1K212	F1P826
O15055	Q8VI16	Q8VHV7	Q1JQA7	E2R243
Q96KC8	Q71M36	P19328	F1MGC8	E2RM34
Q5VWQ8	Q3UPW2	-	-	-
P61457	Q9D0F1	P22734	Q58CQ7	E2RB96
Q9H0N5	Q9CWR8	Q6AY64	E1BB72	E2RN63
Q969S8	Q6ZQ89	A1L1L1	E1B732	E2RE51
P0DJD1	Q9D306	P15999	E1B8Y0	J9P158
P0C0L4	Q7TSH4	Q5U204	A7YSY2	F1PKG4
P15151	Q9DCG9	-	-	-
Q9HC78	Q60945	P61212	Q3ZC31	P10673
P22794	Q9WUD0	D3ZHY9	F1N0Z3	E2RMP0
Q6PIU2	Q8BIS8	M0R959	E1BLU2	E2RJS0
P46721	Q6ZPU9	A0A0G2K1V2	-	-
P00747	Q6DVA0	D3ZF58	E1BIT3	J9P6J8
P10643	Q9JJ94	D3ZGZ9	G3N1C8	E2QY53
O00461	Q9CQS9	D3ZB96	F1MPS0	E2RNV6
Q8WXG9	Q7TT16	D4A523	Q0VD27	J9NSY9
P10909	Q6A0A9	Q66HC5	Q3ZCK1	F1Q237
Q9P2A4	Q9QWZ1	M0R8P3	E1BI45	E2QYD3
Q07889	Q5SV80	Q5I0K8	F1N112	F1PGR0
P24390	E9QP19	A0A096MJX5	A6QQZ8	F6Y2F0
Q96HW7	P35378	Q6MGD2	Q17QA1	F1PJY7
Q4L235	D6REV1	P50745	B0JYL2	J9NZP5
P15735	Q9JI08	D4A454	F1MFH5	F1P8T8
P43699	Q8VH31	G3V693	F1MJ05	J9PAT1
Q9UBT2	P97315	A0A0G2JSZ4	G3N3E1	F1PRD0
P41134	Q99ML4	D3ZSY7	P41500	F1Q3W1
P48058	Q9CQ18	-	-	-
P49848	P52483	A2VCX1	Q599T9	F1PEG8
Q96AZ1	P26043	F1M6V1	P11116	E2RQ87
Q9Y4F3	Q5SXJ3	-	-	-
Q9BXP5	Q3UPL0	Q9WUC8	E1B9D1	E2QW06
P19801	E9PZ11	D3ZZI6	A7Z044	E2RT02
Q8NBI2	E9QNQ3	O88582	F1MY73	F1P8J4
Q9UBN6	Q3UM45	-	-	-
P42701	Q9D8Z2	A0A0G2K2Y2	A6QLF4	F1PNW7
O95210	Q91ZA3	A0A0G2JXI1	Q3ZC25	F1PMU4
P13807	Q7TN75	F1M1B3	F1MHE7	J9NSS0
Q7Z478	Q68ED2	Q4FZU3	Q58CT8	E2QTD7
Q9HA65	Q61500	Q925N6	G3X750	E2R3H7
Q5VW00	P59114	Q5FWT9	F1MCY5	J9NVI7
Q15375	O88346	F7EWN2	Q3T0B9	F1PKM7
Q8TDW5	Q9QZ10	Q6P6T4	E1BP41	E2R9Q9
Q9BTA9	A0A0B4J1F0	Q923S2	A5D7J8	J9NTL5
Q9NNW7	A2AQP0	Q08834	E1BGP4	J9P956
Q9UKU7	A0A0R4IZW8	Q5M9G7	F1MJP7	E2RIM9
Q70SY1	Q9DCE9	D3ZTW6	F1MGS2	E2R5L0
P31327	Q9D187	D3ZXF9	G3MYN7	F1PBB7
Q96IZ0	A0A0G2JGH9	-	-	-
Q8N4Q0	Q9DA60	A0A096MJF7	E1B9B0	J9NWS2
Q8WWX0	O35075	D4A5Y0	P19035	F1PQ35
Q06265	Q6P6L6	Q5U2U0	Q1JQD9	F6X8E7
P48169	Q62276	D4A8G1	A5PK13	J9NW66
H3BN98	A1Z198	Q66HD0	E1BF74	F6UNA4
Q7RTV0	Q9ESS0	A0A0H2UHR3	F1N151	E2RDU1
Q9HD33	A0A0R4IZX2	Q4V7C0	F1MMM8	G1K297
Q9Y4G2	Q9ESL8	D3ZLT7	Q3SX33	F1PSB1
Q3MIX3	Q99JW1	D3ZUT8	F1MBF6	E2R481
Q99797	P37804	D3ZHR8	-	-
O95168	Q9ESN5	-	-	-
O60266	D3YY91	D3ZMR9	G3N3Y2	E2R8M8
Q9HBU9	Q6PFE7	A0A0H2UHB9	P18341	J9P4G4
O14786	Q8VD00	D4A8Y6	F1MG19	E2R745
Q13201	P98203	Q4KM45	G3MXM5	J9NTT0
Q15828	Q9ERZ0	Q9JJ73	E1BPJ7	Q49LX5
O95602	Q9CQD1	B0BNB0	Q3SYU1	F1PFK6
Q96DZ1	Q9Z2D1	Q5HZB6	A6QPI8	J9NZ97
Q9UBU6	Q62520	Q80WL2	A4IFG5	E2QXX9
Q9BU64	Q60648	Q9JIL3	Q3SZT2	F1PZ81
P04844	Q9D7M8	P46933	A3KMW6	J9NWQ0
P10242	E9Q4S7	G3V796	A7MBI0	-
Q9UBE8	Q0VBK2	Q6IFV5	A5PJG9	F1PPR1
P52926	Q8VHY0	M0R4P2	G3N260	E2RRI2
Q9H009	Q91VW5	D4ADD8	G3X6E8	F1PDN4
P41595	O54785	B2GUX5	F1MQB5	E2REA7
P0CG08	Q8VE09	D3ZYP9	A6H773	E2RCK9
Q96EP1	Q6PAM0	-	-	-
Q58EX7	Q9CPP7	D4ACA2	A6QLZ1	J9P225
P35542	Q8BZ65	Q5FVS6	E1BM53	F6Y3K9
Q86YN6	Q9CQK7	-	-	-
Q5I0X7	Q8CFI5	P23977	E1B9M9	J9NSM2
A6NK89	O09161	A0A0G2JV43	-	-
P35243	Q8BIX9	-	-	-
Q13261	E9QNR5	D4A5F3	-	-
P84103	A0A0R4J1E2	G3V926	P48734	F1PUE0
O14893	Q6PAL7	A0A0G2JX92	Q07130	E2QT37
Q8N6C5	Q9CWU2	-	-	-
Q9H583	O70310	O08875	F1MPE4	E2RPG4
P31274	Q91WE2	Q4QQV8	A2VDP2	E2RRU1
Q02447	Q3TLD5	F1M8V2	E1BIN0	E2QVC5
Q400G9	Q03717	A0A0G2K4B6	F1MXY4	F1PJV5
Q7L576	Q91WK2	G3V8U9	F1N0Y9	J9NTR8
Q969F1	A0A1D5RM41	O35854	F1MPC2	J9NY87
Q70EL2	Q8K371	A4L691	F1MQE7	F1PN64
P17516	P70423	A0JPN4	Q05B85	F6XEL1
P42330	Q91ZR5	A0A0G2JXI5	F1MWK1	J9PBC0
A6NDB9	A0A1D5RLR2	D4ACP1	Q32LN9	F1PRL7
O95136	V9GWZ4	D3ZRB3	F1N693	B3FXQ6
D2IYK5	Q8K0V2	F1M707	F1MX50	J9P1Y4
Q13367	Q76LL6	A0A140TA94	F1N0H5	E2RIX0
Q13395	A2AHG2	D4A8G6	F1MJI3	E2RQD9
Q15291	O70263	A0A0G2JZP9	F1MLE3	E2RE42
Q99929	Q80U62	D3ZKV8	Q2KHV6	J9PA90
P28702	A0A023T778	H9KVE7	F1MU24	F1Q0X3
Q96CP2	Q9CXG9	G3V6F3	E1BF03	E2REY8
Q8N511	E9QP68	Q0ZFS7	F1ME97	F1PW93
Q14190	D3YU89	A0A0G2JXZ3	Q2HJ38	E2RM18
Q01638	Q64676	A0A0H2UHS4	Q2KHX4	F1PZA7
Q70IA6	Q4U4S6	D3Z8X7	E1BNL9	E2RHS5
P23527	Q9CQV1	P62630	Q32LB3	J9P1K9
Q01831	Q9D1C2	F1M656	E1B9Q2	F1PTW4
Q86XE3	Q8QZV0	Q6AXY3	Q0V8L2	F1Q1B2
P06744	Q9ER88	P97887	P53619	E2RGM8
Q5JRA6	Q8K3Y3	G3V6C1	Q3T119	J9PB45
Q96PC5	A0A0R4J092	A0A0G2K2F0	G1K1B6	E2R960
P29992	Q9DB22	B1H248	E3W9A2	-
Q9HD34	Q6ZWM4	P84076	Q9TTJ5	F1Q2S7
P35398	Q9D504	G3V6K4	E1BLS3	F1Q3E5
Q12796	Q9CR73	A0A0G2K4Y6	O77784	E2R0P3
P53680	Q8R550	A0A140UHX0	E1B7K5	E2RHR4
Q92968	P14439	-	-	-
P03928	Q9D0U6	G3V710	A6QLT0	E2RIM5
O75923	P20067	D4A078	F1N330	E2RHJ9
Q99715	P97386	F1M8H6	Q0P5F6	E2RDL6
Q14653	A2A8L1	D3ZFM1	E1BLN6	F1PA84
Q14BN4	Q5Y5T2	G3V7W3	A0JN40	Q28300
Q8WWB3	Q91V88	D3ZG95	A6QP22	F1PP53
P29373	Q8VCC8	D3ZKJ8	F6RJN8	F1PUV9
Q96Q40	Q8C8K3	M0R7D1	F1N0Z1	E2RDF8
Q6NYC8	O55187	A0A0G2JZD5	F1MDU6	A0A0A0MPB9
Q86YS7	Q3TQQ9	Q62682	P15781	F6X9L9
Q16526	Q9DBG3	Q91Y81	E1BN63	E2RH75
P08582	D3YYS0	D3ZDG4	F1MXY2	J9P4U6
Q9GZP9	Q9CX48	B2RZC9	Q1RMP1	E2REH5
P21731	Q61271	-	-	-
Q96RP9	Q99KN9	Q5XIB5	A0JN51	E2QTM2
Q96BY7	Q5FWH7	F1M597	F1MHV4	F1PEJ5
Q13561	P35278	D3ZI16	Q2HJ49	F1PQQ7
Q15392	O89094	A0A0G2QC31	Q8SQG8	E2R4M3
P0DPA2	Q91X58	Q9JHE5	F1MYQ9	F1Q0G6
Q8NB46	Q9DBU0	Q2TGI6	F1N2L1	E2RQ97
Q9BRX2	Q9JJ28	D3ZXN9	Q5E9F8	J9PAK3
Q9BPZ7	Q9WU42	Q5VLR5	Q32PE9	E2RIW8
P43307	P35569	Q5FVS4	F1MPE9	E2RJF6
P32322	Q9ESU6	A0A0G2JUG7	-	-
Q9Y6E7	F8VPZ9	F7FGY2	E1BCH5	F1PF24
O15211	Q99LY2	F7EPU7	F1N4T8	F6XDU0
Q14161	A0A1B0GT67	Q6AY41	F1MZ22	F1PED2
Q04323	Q9CQF0	-	-	-
Q92575	Q80W04	Q5RJP6	G3X683	E2RTG1
P48147	Q6ZPR1	B1WBV0	G3N3X4	F1PX32
Q9BVI4	Q9D020	P04638	Q9XSA7	F1PZW8
Q13823	P58854	Q5XIM7	Q08DG6	E2R3U9
Q96B49	P01326	Q62737	F1MS75	F1PSQ7
Q9ULH0	Q3U9N4	P10824	F1MTI2	E2R5U8
P20908	Q8K4B2	D4AEH8	F1MFH3	E2RNC5
Q9UK32	Q8CCH2	Q5XI53	A6QLN7	F1PMM1
Q8TC12	Q3ULJ3	G3V608	E1BGY4	F1PVV8
O95073	Q9CSU0	Q68FX4	F1MG84	J9NVA8
Q96JP2	A0A1W2P7Q6	Q62893	A5PJS7	F1PNA7
Q16799	Q5BLK4	F1M601	A5D7N7	E2R5C6
P02008	P14069	F1LNX7	Q4U5R4	J9PA23
Q5VWX1	Q99N95	G3V8G2	E1BL76	E2RGF2
O60502	Q01815	G3V6U6	G3MXY5	J9NYE8
Q16204	Q8BP78	D3ZSK3	F1MLU5	F1PJB7
O95072	Q9R0C8	Q7TNZ9	A5D7H8	J9NTY5
O95198	Q8BHG9	-	-	-
Q5W0V3	A2ABU4	-	-	-
P31146	O70299	G3V7A2	F1MGP5	J9P6C0
Q9UG01	Q50H33	-	-	-
P12074	Q00493	-	-	-
Q9NQC1	P35441	-	-	-
Q13751	A2AL36	M0RAK0	E1BIN7	F1PCS8
Q9P2K5	Q9EQT3	Q6MGC4	F1MY94	F6V4A2
P55316	Q8C845	A0A0H2UH97	F1N162	E2QSI3
Q14202	B2RX88	-	-	-
D3DTR7	Q9D361	M0R592	F1MJE8	J9NUM6
O75865	Q9JM54	F1LV10	E1B9S7	J9NSU1
Q14690	F8WGW3	Q3KRE0	E1BDC0	F1PX50
Q9Y2T2	Q9DAA6	B6ID11	Q3T0K9	E2RME9
O60218	D6RGN1	D4ABT9	-	-
Q9BXJ5	Q6P5D3	P17256	F6QFC2	F6Y7V4
Q9UGJ1	P10630	F1M4A4	A6QR44	E2RLG2
Q5TGZ0	P04186	A0A0H2UHH4	E1BJ49	F1PLC7
Q96DB5	D3YZ21	A0A0G2K695	Q0VC96	F1Q1M2
P17658	Q91YP3	P01581	F1MS81	E2QZ98
Q9ULJ7	Q8VCW8	P63043	E1B746	F1PMB3
Q16739	Q8BK29	A0A0G2KAI9	E1BDQ0	J9PAD0
Q53G59	Q9CPY1	A0A0G2K5R0	E1BC65	E2RJB9
O60762	P97875	Q642B6	F1N1A9	F1Q1A7
Q96HN2	B2RXS4	D3ZF21	E1B7G7	P11613
Q9UPR0	Q9DA75	Q3ZBA0	G3N0H1	F1PUX3
Q9UQ13	Q99L28	Q5RK08	F1N5K8	F1PSV1
Q6UX98	P97326	D3ZV21	F1N7I8	F1P726
Q53GS9	Q8C253	-	-	-
Q96G91	O35927	A0A0G2KB27	F1MN84	J9NTS4
Q5VWQ0	Q91VY9	D3ZBP4	H9KUU7	E2QUH9
Q96PQ6	F2Z444	G3V6F1	Q1RMQ5	F1P6P6
Q8TF71	Q8BKX7	Q76IC6	E1BQ01	F1PJK9
Q9ULG6	Q505G4	A0A0G2K220	Q2KIY3	E2R8N7
Q9P246	O08643	G3V857	F1MB85	E2RSZ5
P35869	Q149F3	D3ZM09	A1L4Z4	J9NS67
A0MZ66	O35714	D3ZWN6	E1BGT8	F1P767
Q8IV03	Q6WKZ7	O08950	D2DSG3	J9P6A7
Q86XX4	Q8CHS9	D3ZH55	F1N3M3	F1Q090
P14314	E9Q5C9	D3ZWA8	Q08DX5	F1PGM0
P25800	P35918	D3ZYM3	Q08DE1	J9NYA0
Q8WV07	Q921E2	P55054	Q2M2S6	F1PZC7
P36543	Q9ET22	B0BN94	Q32KX6	E2RQT2
O60812	Q99MR6	Q8R3Z7	F1MV07	E2RIS5
O43159	E0CYN9	D3ZZA1	F1N712	E2RDK5
Q9NYL4	Q9Z2B9	D4ABY6	F1N6N2	F1P6W7
Q6UVY6	Q9JHF9	D3Z9J8	E1BFR1	E2RE47
Q9H115	Q91X83	D3ZB78	F1MMX2	F1P722
Q8N1I0	Q0VBM2	O35431	F1MPV0	F1PAX2
Q9UP83	O89091	D3ZBM0	F1MEP8	E2R3E4
Q96HA7	A2CGA5	A0A0G2K7Y5	E1BH40	E2R1K2
Q96EH3	Q9CQT6	Q9JJL4	F1N5N9	E2R1E5
Q9UQN3	P57016	D4A234	E1BC73	F6V393
Q9H0J9	Q60793	Q4V897	F1N036	E2R503
O00479	Q32M07	A0A0H2UHI1	Q2TBX6	F1PF40
O00217	Q80TE7	A0A0G2KAP1	E1BP75	E2R3K9
O75626	Q8BJW5	A0A0G2JWS6	-	-
Q9BPW0	A6H656	F1M998	Q3ZBK8	F1Q0U3
O60291	Q923Y8	-	-	-
O95479	Q5SZ99	F7EPE0	-	-
Q9H6K1	Q9DCV7	A0A0X1KG81	E1BMF4	F1PU52
Q13444	P50580	Q6IMX4	F1N6Q2	E2R5D9
Q5VWJ9	P23881	D3ZUT0	F1MYN4	E2RKZ5
Q9UNL4	Q3UHB2	B2GUZ3	Q05204	F1PP76
Q9H3S7	Q8BH75	A0A0G2JUE5	E1BJT6	E2RNV0
Q9NX47	P46978	D3ZBW5	F1MHT2	J9NS41
O43829	Q8BFY7	Q9ES58	E1BBC8	-
P26651	Q8C156	Q6AYK6	F1N483	E2QTG4
P23467	P53810	F1LXS5	A5PJ71	E2R7E5
Q709F0	Q7TN22	M0R7X5	E1B758	J9PAC0
P07305	Q9CXF7	P11730	-	-
Q13216	Q924H2	B1H246	-	-
Q16825	Q499X9	-	-	-
O43439	A0A1B0GRC5	P28565	H9GW32	J9NYF4
Q3T906	Q3UUD2	Q7TSY2	-	-
Q8N3Z0	Q5F4T0	D4AB66	F1MLS8	J9NW30
P36383	Q810B9	-	-	-
P16473	P15105	D3ZDS3	F1N703	E2RQI3
Q8TDM5	Q501P1	D3ZCM4	E1BLT5	E2QW31
Q9NZB2	Q8VD65	D4AEE9	A4IFJ5	E2RT60
Q8N766	O88632	Q5XIL4	G1K1Z2	-
Q86V15	O70423	D4A9X7	F1N663	E2R6G0
P0C024	Q80W32	A0A0G2JT65	F1MPS7	J9NYM8
Q9Y5J3	P62267	Q6IRH6	Q5E9Q7	F1PN49
Q9NP77	E0CXK8	Q91ZR7	F1MBF2	F1PZ61
Q99720	Q99K70	A0A096MJY1	Q32KV9	F1PS79
P28065	Q9CZ62	D3ZRX9	A0JN62	H9GWP9
Q5T9A4	E9Q912	Q5RKI2	F1MS00	E2RQR4
Q9Y2K6	Q3THW5	P70600	E1BNK3	F1PK46
Q3SY69	E9QQ93	A0A0G2JZ65	A6H716	E2R2L6
Q6ZTQ3	A2AKD7	D4AEP0	E1BEJ3	F1PFB6
P42261	Q80ZA2	D3ZVR8	-	-
Q9BZZ5	P14753	G3V8I4	F1ME99	E2RSJ2
Q9UH77	Q9DCL8	-	-	-
Q9H6D7	A2AUC9	-	-	-
P62942	Q9CWX9	Q5M9G3	E1BAF6	F1PX57
Q9UMG1	Q3UVD6	A0A0G2K1Q3	-	-
Q9NW38	Q60784	Q76MV3	Q17QJ7	E2QTJ3
P01892	Q8VEH3	Q5BK48	F1MMQ8	F6X487
P43632	Q91Y44	Q09QM4	Q17QN3	E2RBW9
O15042	Q9EPK7	Q5XIP6	F1MAV4	E2QYK5
Q96H96	Q99KQ4	F1LMN8	F1N5D5	E2R3C8
Q9Y342	Q61171	A0A0G2JYR1	Q3ZBB1	F1P712
P43155	P51908	A0A140TAF1	A6QQK4	E2RFZ1
Q8TE68	Q3ULW6	Q80Z34	F1MQC7	E2R6R2
Q969F2	A0A0R4J0Q6	A0A0G2JSS8	E1BDL9	F1PYB7
Q6R6M4	A0A1D5RLR8	P38483	E1BLD8	F1PWD9
Q9P021	Q3UQS2	Q91ZQ0	F1N0I2	E2RF53
Q9BQ70	B2RSU7	D3ZND9	F1N510	F1PVY2
Q9P2E3	Q9D091	D3ZZZ9	A7MBA0	E2QZX3
P26378	Q6PZD9	D3ZUJ7	F1N2A1	E2RKL5
Q8NCB2	Q6P1H4	-	-	-
O75145	P16388	B2RZB3	F1MFY9	E2RAJ4
O94782	O70324	D3Z952	F1N679	E2R1H3
Q5VWG9	P50220	A0A0G2K8K5	E1BEK1	E2RNJ6
Q15545	Q91WE4	D4A8E5	G3MZS9	J9PAU5
P63162	A0A0R4J0L6	Q4QQS0	A7E320	J9NWG1
Q6UWU4	A2A591	Q9QX01	Q0VCU3	F1PGE5
Q9H223	O08789	D4AE79	F1MRP6	F1PWZ5
Q9H3P2	Q8C3K6	D3ZDC2	Q3ZBE7	J9NRR1
P36575	Q9QX96	Q5XIU1	P00586	E2RQC7
Q53H82	Q8VCD7	D3ZQY4	Q05B66	E2RQ30
Q14761	Q8BQ30	P70566	E1BIJ8	E2RE24
P54829	Q6NXK8	E9PU42	F1N3A0	J9NYW1
Q96RS6	P35374	Q8R5L7	O46469	E2RM98
Q15349	O08795	Q9ER34	Q58DC5	F1PTE5
Q9BV86	Q8BVW3	-	-	-
Q9UF11	F7BTP0	P50575	A6QQZ7	E2QU68
Q9UBV7	Q8BPX9	-	-	-
P57076	Q3UN04	G3V9R8	G3X6R0	E2R3X1
Q9Y3T9	P62858	D4A781	-	-
P49006	Q3URQ0	Q5PQX1	F1MN29	F1PVX5
Q8TCC3	Q6GV12	-	-	-
Q9NQ55	Q924K8	F1M0R1	F1MLY7	E2RJ10
Q96N66	Q9DAQ9	D3ZJG3	E1BGM6	J9PAJ2
Q13427	Q9CR89	H8Y6J3	F1N2W5	E2RIZ1
Q6ZUT1	E9QJT2	-	-	-
O75489	E0CYV0	Q6PCT9	A7Z051	F1PL63
Q96JY0	Q9R1K9	D3ZWM8	E1BDQ6	E2RF49
Q9HBV2	Q3UTY6	B0BN75	F1MHU1	F1Q0U5
Q495A1	P23463	F1LSH6	F1N368	F1P8R6
Q76N89	Q9DBJ1	D3ZJB8	F1MC40	A4GT58
Q9Y5Q8	E0CX53	D4AB01	G3MXK4	F1PMH9
Q9H2G9	P97445	D3ZN27	F1MDD9	J9P2A2
Q7Z5R6	P29621	B1H261	E1BCC0	E2QW00
Q96IV0	Q8CHC8	B2GUY8	G3N3Q9	E2RG73
Q9UNZ2	O88559	P61374	A7MB14	E2R118
Q6PGQ7	Q9JK83	-	-	-
Q92552	P32233	Q68FP1	Q148N0	E2QWL1
P61218	P58710	Q5XIV2	B2Z4B4	E2RT85
Q16644	A2AJK6	Q5BJQ0	-	-
Q13162	Q91YR7	Q3SWS8	Q32PK0	J9NXC6
Q15464	P54728	Q4V8F5	E1BDE7	J9P632
Q58A45	Q3U186	-	-	-
